#SampleID	archeo_sediment	non_westernized_humans	westernized_humans	Unknown
Lib3_6	2.1820615447683357e-05	2.864310092249475e-07	2.276260448081316e-05	1.2041683458885127e-06
Lib4_2	1.163461060322848e-05	2.724473632818495e-05	3.222108449709325e-05	2.40001464210647e-05
Lib4_1	1.1411765279632753e-05	0.0002923132313163681	0.0002823388603370846	2.0400189688926446e-05
Lib4_7	1.754112483363468e-05	3.228466525911855e-06	3.081065451264779e-05	1.7979128224363648e-05
Lib4_4	1.969574639133699e-05	0.0001810427158289397	0.0001731560319846798	2.989460903855842e-05
Lib4_8	2.8644153965893155e-05	0.00037763421623820286	0.0003566551273241484	5.628424727347425e-05
Lib4_5	2.4515093252755048e-05	2.7753670779218725e-07	2.4788945566949752e-05	8.844633245950271e-07
Lib4_6	1.6247107439679947e-05	0.00012465141954793685	0.00012546092088562625	9.6225507088043e-06
Lib3_9	1.8594057701652455e-05	0.000268836636328757	0.000259953875446932	2.0030444390189184e-05
s_02	4.653147777816423e-06	0.0002686726379773517	0.00025883321047716476	2.2630143493507632e-05
Lib4_3	1.572318185780103e-05	1.8123818646238556e-05	1.5300908438158624e-05	1.8286756019919225e-05
