,Lib4_3,Lib4_7,s_02,Lib3_6,Lib4_6,Lib4_1,Lib4_4,Lib4_8,Lib4_5,Lib4_2,Lib3_9
archeo_sediment,0.04111484319243603,0.049248463581070594,0.04706956279846111,0.034319309679669174,0.03453357170799375,0.031886520945680535,0.04248898501042125,0.04810736886129382,0.020873519991864143,0.03484273688010134,0.01832683049671623
non_westernized_humans,0.5091590056964292,0.4365381801120805,0.5873446900573083,0.3438731875939715,0.620764844828848,0.6457397293215771,0.4805476960916864,0.5730753872487946,0.5958847545406531,0.6096682943572839,0.485294075128957
westernized_humans,0.4211547241648908,0.4856419302620875,0.3370143232832569,0.4357172874491694,0.3161301514921262,0.293802327751305,0.44839189401229085,0.35024581886375866,0.33537860970278693,0.32691754589130484,0.4678076697275735
unknown,0.02857142694624397,0.02857142604476138,0.028571423860973715,0.18609021527719,0.028571431971032117,0.028571421981437483,0.028571424885601493,0.028571425026152876,0.04786311576469587,0.028571422871309947,0.02857142464675338
