#SampleID	archeo_sediment	non_westernized_humans	westernized_humans	Unknown
Lib4_3	0.0023686723973256924	0.7489971346704871	0.18153772683858643	0.06709646609360076
Lib4_7	0.24573065902578797	0.09879656160458453	0.5721585482330468	0.08331423113658071
s_02	0.04650429799426934	0.8355109837631327	0.0375549188156638	0.0804297994269341
Lib3_6	0.8651098376313276	0.02680038204393505	0.10189111747851003	0.006198662846227316
Lib4_6	0.07418338108882522	0.8736198662846227	0.008548233046800382	0.043648519579751674
Lib4_1	0.006284622731614136	0.9588347659980898	0.02139446036294174	0.013486150907354345
Lib4_4	0.015396370582617001	0.14000955109837632	0.7788061127029609	0.06578796561604584
Lib4_8	0.044097421203438396	0.8678605539637059	0.012015281757402102	0.07602674307545368
Lib4_5	0.8229035339063993	0.024527220630372493	0.14241642788920725	0.010152817574021013
Lib4_2	0.10608404966571156	0.6825501432664757	0.006265520534861509	0.2051002865329513
Lib3_9	0.06570200573065903	0.683018147086915	0.22681948424068768	0.0244603629417383
