#SampleID	archeo_sediment	non_westernized_humans	westernized_humans	Unknown
Lib4_3	6.818173179589206e-05	0.0004078218349840124	0.0004295244796041037	6.424844339576737e-05
Lib4_7	0.00041658120430701674	0.0005471070573039675	0.0007675096495672465	0.00011023556502619592
s_02	0.0002677869779240815	0.000374222711569785	0.0005152248814113827	0.0001605863182716568
Lib3_6	0.0003918057997341152	0.000567855973578696	0.000768893673730093	3.29339821386183e-05
Lib4_6	0.00018202549338284428	0.0002533400712980502	0.00027494060606387296	8.22726092353698e-05
Lib4_1	6.157310968972759e-05	0.0002659942315887261	0.00030792480464174733	4.7333378007120785e-05
Lib4_4	0.00020327466046873776	0.0009141898060920707	0.000885737060183065	0.00013294909372535107
Lib4_8	0.00012268979772912773	0.00029686098268621606	0.0003216551294427668	0.00010322258709536803
Lib4_5	0.000459799835535463	0.0005519477199126034	0.0006466375754087451	6.821517224706436e-05
Lib4_2	0.0004037539737779743	0.0002570665308579574	0.00019141316199552168	0.00037352488477735064
Lib3_9	0.00014412034625747714	0.0012345237097626555	0.0012936066312584462	7.538110228223738e-05
