#SampleID	archeo_sediment	non_westernized_humans	westernized_humans	Unknown
Lib4_3	0.003973806960889846	0.7664962325080732	0.1631951919626839	0.06633476856835306
Lib4_7	0.20758880516684608	0.0147918909221385	0.524129888769286	0.25348941514172946
s_02	0.004556871187656979	0.7826067456045928	0.00580373161105131	0.20703265159669895
Lib3_6	0.764172945819878	0.006709723717258701	0.01634373878722641	0.2127735916756369
Lib4_6	0.030866523143164692	0.8691962683889487	0.004736275565123789	0.09520093290276282
Lib4_1	0.0025654825977753856	0.9205776820954431	0.004637603157517043	0.07221923214926444
Lib4_4	0.004449228561176893	0.009625044851094366	0.8385181198421241	0.1474076067456046
Lib4_8	0.027368137782561894	0.7459275206315034	0.01021707929673484	0.21648726228919984
Lib4_5	0.7658144958736993	0.004897739504843918	0.08623968424829566	0.1430480803731611
Lib4_2	0.001246860423394331	0.5728650879081449	0.004431288123430212	0.4214567635450305
Lib3_9	0.031054897739504844	0.7209006099748834	0.1735378543236455	0.07450663796196627
