SampleID	archeo_sediment	non_westernized_humans	westernized_humans	Unknown
Lib4_1	0.0005619110069381351	0.002636222033838035	0.0009041695850989704	0.002629682046539669
Lib4_2	0.0004230292831916611	0.005104960939267084	0.001582449326116819	0.0049204655492716826
Lib4_7	0.0007633123932366275	0.006886324330784258	0.013421210182611604	0.011824371578519718
Lib4_4	0.0006765828838583808	0.004123413601303666	0.007085473625228705	0.005698885311313201
Lib3_9	0.0013023818739061022	0.008450027119764508	0.009224700245512328	0.0060301558304974865
Lib4_5	0.0007573861294514422	0.000560548970217725	0.0006527953139095894	0.0012668032611345237
Lib4_3	0.0008251138698168282	0.009306246507791003	0.008531352538976644	0.0028443515946661485
s_02	0.0003384995024060496	0.012511638646738531	0.0014674192398889312	0.011739302511893876
Lib4_8	0.0014619255317112024	0.007795651789564199	0.0018427196433597182	0.008551780638991039
Lib4_6	0.0009938743440591705	0.002514606914874515	0.0012022770669369578	0.0018574202289275991
Lib3_6	0.0007683033048210928	0.0002987231037916525	0.0002519657679438131	0.0008122878667148791
